background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1,292.196,22.994,0.027,0.915,9
1,248.626,29.433,0.083,0.639,15
0,24.063,5.724,0.215,0.369,10
0,39.05,9.958,0.235,0.25,22
0,26.059,5.427,0.192,0.311,14
0,21.307,5.15,0.22,0.396,8
1,109.168,13.579,0.092,0.621,16
0,38.385,7.378,0.162,0.344,13
0,25.919,5.035,0.181,0.383,10
0,42.533,10.604,0.226,0.242,20
1,20.851,4.9,0.212,0.35,11
1,169.627,24.454,0.125,0.327,26
0,23.184,4.94,0.2,0.358,10
1,488.987,39.747,0.027,0.919,16
1,289.822,27.263,0.047,0.668,16
0,33.752,7.081,0.195,0.327,12
0,34.251,7.379,0.196,0.286,17
0,33.904,7.678,0.212,0.448,15
1,78.242,7.866,0.049,0.792,10
1,164.215,23.965,0.112,0.519,22
0,20.384,4.097,0.178,0.385,8
0,30.902,8.463,0.247,0.286,16
1,55.558,7.068,0.11,0.421,11
0,51.042,11.568,0.206,0.279,18
1,111.47,17.766,0.134,0.521,15
1,20.955,4.099,0.17,0.4,10
0,20.861,5.579,0.25,0.33,14
0,20.873,4.37,0.197,0.316,14
0,27.759,4.977,0.145,0.348,13
1,136.529,17.11,0.074,0.537,13
0,29.102,6.189,0.184,0.352,13
0,23.532,3.969,0.143,0.417,8
1,267.956,30.743,0.057,0.828,21
0,28.179,5.729,0.187,0.334,13
1,118.693,13.62,0.068,0.601,14
1,24.458,4.625,0.177,0.553,6
1,442.142,12.539,0.005,0.975,6
0,29.766,6.574,0.204,0.322,13
1,47.484,6.853,0.096,0.741,6
1,22.757,3.693,0.153,0.365,10
1,23.536,5.235,0.203,0.345,12
0,34.742,8.021,0.206,0.264,20
1,357.15,28.633,0.025,0.924,12
1,136.182,15.076,0.05,0.862,12
0,22.858,4.552,0.173,0.324,13
1,180.149,7.958,0.013,0.936,8
1,643.921,43.946,0.022,0.901,19
1,164.385,15.143,0.043,0.54,12
0,21.513,4.501,0.188,0.357,11
0,31.961,6.382,0.172,0.32,14
1,105.685,7.865,0.049,0.49,10
0,41.778,9.694,0.207,0.275,17
0,29.136,5.508,0.173,0.28,17
0,26.348,4.467,0.148,0.316,15
1,390.063,36.51,0.05,0.627,19
1,88.812,11.497,0.089,0.762,9
1,62.587,15.211,0.226,0.207,30
0,21.479,4.13,0.179,0.407,9
1,385.19,30.364,0.025,0.917,16
0,26.279,5.617,0.184,0.374,10
0,37.394,9.697,0.231,0.32,17
1,21.908,4.393,0.189,0.334,12
1,33.574,2.01,0.034,0.844,5
1,227.378,15.632,0.026,0.937,9
0,48.907,12.154,0.222,0.319,17
1,452.553,17.495,0.009,0.964,7
0,22.589,4.901,0.199,0.353,13
0,23.195,4.238,0.154,0.421,9
1,552.24,92.207,0.139,0.416,33
0,30.531,7.23,0.22,0.36,14
0,22.503,5.576,0.225,0.298,13
0,20.457,4.544,0.207,0.368,9
0,32.335,6.815,0.173,0.328,12
0,30.641,6.81,0.199,0.365,13
1,47.542,2.818,0.024,0.855,4
1,178.839,16.077,0.044,0.838,15
0,25.555,4.733,0.176,0.381,11
0,22.907,4.805,0.186,0.33,13
0,25.173,6.1,0.224,0.291,16
1,51.627,7.688,0.118,0.392,14
0,39.02,10.072,0.234,0.312,13
1,416.557,32.376,0.039,0.765,15
1,91.042,9.414,0.082,0.382,10
1,46.859,10.152,0.189,0.312,18
0,25.388,4.68,0.174,0.373,13
1,20.895,4.002,0.176,0.342,11
1,115.488,14.176,0.082,0.812,13
1,316.891,18.204,0.019,0.933,11
1,26.863,3.318,0.107,0.503,5
0,56.315,13.042,0.209,0.245,23
0,48.159,9.854,0.181,0.299,18
0,20.53,4.529,0.198,0.349,12
0,21.783,4.931,0.208,0.426,9
1,156.066,23.186,0.091,0.639,15
0,23.39,4.813,0.185,0.39,11
0,25.757,6.286,0.223,0.268,16
0,23.123,6.011,0.234,0.386,9
1,41.485,8.123,0.176,0.343,17
0,52.034,10.783,0.186,0.295,16
1,278.75,18.688,0.026,0.914,11
0,21.204,4.92,0.211,0.344,11
1,173.751,32.625,0.149,0.443,29
0,23.373,4.783,0.179,0.502,8
0,22.912,5.002,0.194,0.328,10
1,24.872,4.098,0.129,0.422,11
0,33.923,8.858,0.244,0.33,14
0,86.785,22.811,0.238,0.206,38
0,33.256,7.688,0.215,0.284,17
0,35.523,8.15,0.207,0.378,14
0,29.551,5.706,0.176,0.344,11
1,22.556,3.687,0.147,0.424,9
0,22.517,5.219,0.212,0.349,11
1,92.657,8.723,0.068,0.429,10
0,25.97,6.701,0.24,0.283,16
0,27.988,6.901,0.231,0.322,14
0,28.906,6.366,0.206,0.324,13
1,111.075,18.901,0.151,0.437,21
1,238.488,11.662,0.01,0.959,5
1,572.833,38.56,0.024,0.883,17
0,34.299,8.429,0.221,0.267,18
1,123.371,17.451,0.096,0.649,14
0,27.981,6.882,0.223,0.305,12
1,61.247,10.794,0.147,0.358,18
1,29.482,4.892,0.151,0.359,11
0,47.356,9.284,0.179,0.267,18
1,244.592,33.754,0.099,0.463,25
1,95.34,13.181,0.111,0.619,13
1,22.611,4.58,0.188,0.382,10
1,84.257,17.365,0.175,0.281,18
1,51.255,9.943,0.176,0.328,12
1,67.103,9.776,0.117,0.362,14
0,54.021,12.408,0.213,0.254,21
1,184.626,16.4,0.045,0.919,7
0,23.002,5.406,0.214,0.398,11
0,20.698,4.903,0.225,0.313,14
1,93.086,12.792,0.113,0.417,10
1,58.435,9.028,0.136,0.313,17
1,176.008,16.194,0.047,0.681,16
0,20.697,4.161,0.174,0.416,8
1,56.593,8.777,0.128,0.415,17
0,28.524,5.092,0.167,0.363,11
0,30.31,6.311,0.181,0.319,12
0,24.893,5.56,0.205,0.313,16
1,83.678,12.723,0.08,0.641,17
0,27.467,5.449,0.173,0.321,12
1,108.755,17.694,0.142,0.283,22
0,30.775,5.873,0.172,0.329,11
0,23.539,4.728,0.185,0.295,14
0,22.883,4.676,0.184,0.298,12
0,28.884,6.869,0.222,0.331,13
0,31.893,6.153,0.172,0.354,14
1,112.396,17.427,0.112,0.398,26
0,23.422,5.367,0.208,0.433,14
1,105.486,15.805,0.108,0.407,19
0,50.922,11.071,0.191,0.279,18
0,24.278,5.924,0.225,0.285,14
1,528.383,35.966,0.022,0.906,16
1,343.696,32.891,0.033,0.896,19
0,20.183,3.781,0.173,0.528,6
0,30.928,6.71,0.192,0.308,14
0,30.877,7.628,0.23,0.297,15
1,30.461,6.058,0.181,0.308,15
1,188.664,26.066,0.08,0.606,22
0,57.345,10.15,0.141,0.49,14
1,79.841,7.653,0.037,0.869,8
1,26.48,5.913,0.199,0.302,15
0,45.45,9.541,0.184,0.45,9
0,20.785,4.164,0.189,0.404,9
1,217.6,27.709,0.091,0.426,23
1,37.617,5.934,0.141,0.345,12
1,98.803,16.409,0.12,0.717,17
0,22.987,5.113,0.199,0.455,9
