background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,23.808,4.694,0.179,0.532,4
1,101.546,10.227,0.055,0.724,5
0,33.424,1.394,0.024,0.71,3
1,25.729,1.528,0.032,0.664,3
1,120.417,18.163,0.111,0.477,8
1,584.269,44.935,0.032,0.682,3
0,21.338,4.733,0.196,0.537,7
0,25.997,2.068,0.055,0.873,2
1,23.955,1.034,0.034,0.649,3
1,59.569,4.265,0.054,0.703,3
1,201.161,27.395,0.123,0.545,7
1,43.253,7.797,0.163,0.762,2
1,42.524,2.374,0.012,0.974,3
0,33.937,0.0,0.0,1.0,1
0,20.44,4.246,0.191,0.53,6
1,26.917,2.018,0.065,0.788,2
0,24.782,0.977,0.039,0.707,2
0,21.225,2.963,0.134,0.667,3
1,139.821,6.734,0.034,0.707,3
0,21.814,2.261,0.076,0.663,4
1,20.928,3.525,0.118,0.656,6
0,28.852,1.744,0.053,0.785,2
1,57.586,0.482,0.002,0.988,2
1,67.223,7.176,0.079,0.703,4
0,31.764,6.415,0.189,0.415,9
0,30.038,4.239,0.125,0.634,3
0,25.497,4.214,0.154,0.671,3
0,21.239,4.675,0.206,0.469,6
0,39.998,6.389,0.147,0.504,5
1,80.023,2.069,0.007,0.982,2
0,20.099,1.522,0.044,0.912,2
1,286.851,14.0,0.015,0.917,6
0,28.132,4.707,0.151,0.627,6
0,24.911,3.488,0.105,0.833,3
0,27.543,3.043,0.071,0.758,3
1,149.726,15.697,0.07,0.59,4
0,26.452,1.103,0.041,0.716,2
1,81.358,15.042,0.161,0.467,6
0,25.236,3.512,0.127,0.484,6
0,22.883,4.292,0.154,0.568,5
1,65.59,10.963,0.144,0.467,7
1,110.294,12.44,0.081,0.673,14
1,68.532,9.317,0.123,0.525,5
0,25.494,3.665,0.111,0.738,6
0,21.209,1.595,0.061,0.693,3
0,24.535,2.619,0.073,0.874,2
0,41.52,4.861,0.116,0.713,2
0,30.873,2.11,0.063,0.754,2
0,27.74,2.216,0.06,0.7,4
0,28.555,3.08,0.078,0.528,7
1,93.749,0.0,0.0,1.0,1
1,74.936,5.98,0.067,0.805,2
0,22.44,2.591,0.114,0.607,3
1,96.685,11.059,0.082,0.579,5
0,25.248,0.859,0.031,0.769,2
1,77.312,9.121,0.098,0.739,3
0,27.435,3.964,0.116,0.554,4
0,27.324,3.712,0.101,0.603,5
1,46.632,3.186,0.053,0.718,3
1,91.731,6.591,0.029,0.738,4
1,181.705,20.374,0.065,0.552,6
0,25.085,0.535,0.021,0.715,2
1,101.124,13.872,0.1,0.674,13
1,41.686,0.0,0.0,1.0,1
0,48.477,7.554,0.123,0.538,5
1,178.258,19.53,0.084,0.821,4
0,24.775,2.945,0.095,0.823,2
1,225.276,19.824,0.044,0.647,8
1,22.164,4.219,0.181,0.736,2
0,70.639,9.386,0.104,0.72,11
1,66.208,11.688,0.155,0.652,4
0,31.726,3.233,0.072,0.787,5
0,67.201,11.162,0.149,0.557,4
1,44.296,4.217,0.072,0.546,5
1,70.853,1.324,0.003,0.993,2
1,169.349,30.983,0.163,0.5,10
0,36.927,8.339,0.213,0.626,3
1,63.595,0.716,0.007,0.883,2
0,52.993,9.503,0.145,0.499,5
0,28.335,6.274,0.205,0.467,7
1,192.256,10.551,0.017,0.977,4
1,66.382,8.323,0.083,0.608,8
1,44.374,4.302,0.049,0.933,3
1,35.132,5.668,0.142,0.52,6
1,28.459,4.729,0.13,0.816,3
0,21.771,3.621,0.163,0.622,4
1,298.401,11.308,0.007,0.99,4
1,59.656,12.753,0.203,0.527,6
0,20.145,1.788,0.055,0.849,3
0,25.677,4.896,0.175,0.461,9
0,23.279,2.412,0.094,0.745,3
0,26.974,3.825,0.088,0.53,5
1,27.773,1.793,0.032,0.936,2
1,44.222,3.306,0.037,0.788,3
1,26.602,3.978,0.134,0.561,4
1,73.033,3.829,0.047,0.65,3
0,30.747,6.531,0.189,0.58,4
0,21.692,3.572,0.161,0.717,2
1,100.863,16.029,0.139,0.539,13
1,24.922,0.0,0.0,1.0,1
0,22.931,3.458,0.125,0.582,5
1,116.463,16.278,0.105,0.611,5
0,44.186,6.497,0.13,0.493,5
0,37.09,3.417,0.075,0.5,6
0,22.307,4.239,0.165,0.482,8
1,37.413,3.484,0.059,0.895,2
0,22.148,2.716,0.093,0.649,4
0,30.627,4.748,0.147,0.644,3
0,87.844,17.352,0.188,0.377,9
0,29.984,4.163,0.134,0.625,3
1,89.811,7.37,0.066,0.813,3
0,21.459,3.278,0.152,0.707,2
0,27.453,4.052,0.144,0.661,3
0,34.489,3.833,0.111,0.707,3
1,105.496,12.403,0.096,0.664,3
0,54.492,10.604,0.164,0.515,6
0,24.746,4.463,0.145,0.496,7
1,41.24,0.0,0.0,1.0,1
0,20.46,0.0,0.0,1.0,1
0,29.524,4.862,0.158,0.493,5
0,30.083,3.652,0.12,0.712,2
1,117.879,11.017,0.051,0.718,5
0,24.439,3.79,0.125,0.73,3
0,39.414,8.201,0.192,0.572,14
0,21.819,4.272,0.157,0.588,5
1,114.285,12.037,0.059,0.756,6
1,54.14,8.279,0.115,0.618,5
1,248.1,30.831,0.071,0.722,9
0,45.58,10.221,0.198,0.398,8
1,52.37,3.532,0.032,0.701,4
1,48.447,9.888,0.193,0.506,6
1,198.57,9.843,0.021,0.852,3
0,34.553,4.225,0.109,0.752,3
0,74.595,10.258,0.131,0.65,5
0,134.222,26.68,0.169,0.53,8
0,21.611,2.26,0.104,0.602,4
1,124.303,14.062,0.075,0.477,7
0,28.413,5.671,0.186,0.54,4
1,112.862,6.588,0.024,0.754,4
1,47.572,8.512,0.162,0.643,4
0,48.539,7.205,0.105,0.61,6
1,79.721,5.766,0.047,0.857,4
0,24.125,5.365,0.213,0.497,6
0,32.509,4.177,0.121,0.545,4
0,23.925,5.259,0.211,0.493,7
0,34.881,8.665,0.232,0.37,11
0,45.209,10.664,0.217,0.386,9
1,54.653,4.315,0.071,0.59,3
0,21.173,0.0,0.0,1.0,1
0,22.495,2.243,0.097,0.631,3
0,74.637,15.812,0.195,0.426,7
0,23.838,3.835,0.135,0.723,3
1,27.199,1.752,0.052,0.822,2
1,30.203,3.541,0.114,0.651,3
0,38.39,5.279,0.119,0.663,3
1,66.112,9.297,0.131,0.638,3
1,40.737,6.988,0.154,0.473,5
1,85.317,11.447,0.117,0.627,4
1,73.493,2.806,0.036,0.742,2
0,20.565,3.606,0.171,0.579,4
1,59.335,8.18,0.114,0.672,6
0,24.66,5.324,0.209,0.64,4
0,28.263,4.2,0.128,0.524,6
0,44.871,7.518,0.164,0.618,3
0,36.817,6.714,0.133,0.669,4
0,25.802,5.295,0.17,0.453,6
1,31.935,3.886,0.115,0.742,2
1,41.127,3.866,0.067,0.623,4
0,20.805,1.878,0.088,0.669,3
0,25.09,4.666,0.172,0.673,4
0,24.202,4.919,0.168,0.532,6
0,43.196,5.732,0.112,0.541,4
1,60.097,9.765,0.122,0.537,14
0,33.811,4.094,0.118,0.468,6
1,75.398,3.839,0.033,0.868,3
1,22.771,1.647,0.065,0.744,3
0,23.451,3.427,0.144,0.711,2
0,21.671,4.684,0.202,0.528,8
1,117.459,11.046,0.061,0.647,3
1,21.933,2.531,0.086,0.678,4
1,44.277,5.498,0.071,0.771,5
0,31.541,8.044,0.238,0.363,11
1,126.862,17.965,0.09,0.718,9
