background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,48.139,7.641,0.132,0.536,6
0,23.619,4.667,0.173,0.549,5
1,413.586,28.43,0.018,0.949,5
1,116.821,5.023,0.029,0.665,5
1,132.812,13.035,0.085,0.378,8
1,443.437,14.748,0.007,0.981,3
1,162.936,8.028,0.02,0.92,4
0,36.613,7.085,0.145,0.405,7
1,38.959,2.445,0.038,0.902,2
1,156.745,5.616,0.008,0.987,2
0,60.418,7.336,0.075,0.478,6
0,29.22,4.639,0.142,0.596,4
1,40.192,8.16,0.187,0.447,6
1,109.721,16.613,0.106,0.513,9
1,134.82,17.113,0.118,0.345,14
1,62.609,12.087,0.165,0.329,14
0,20.861,4.432,0.192,0.47,5
0,23.097,5.037,0.211,0.463,5
0,29.397,5.078,0.155,0.472,7
1,358.94,11.27,0.005,0.975,3
1,29.178,5.75,0.178,0.467,5
1,377.754,17.96,0.016,0.726,6
1,47.661,8.781,0.172,0.468,5
1,138.146,4.572,0.011,0.974,2
0,44.046,9.286,0.197,0.376,8
0,20.553,1.349,0.061,0.596,3
1,36.311,3.135,0.071,0.47,5
1,66.657,4.15,0.054,0.515,6
0,24.182,2.759,0.097,0.487,5
0,54.761,4.987,0.067,0.625,5
0,20.365,4.664,0.213,0.419,6
1,683.539,17.858,0.017,0.87,4
1,38.532,7.164,0.172,0.388,7
1,351.558,5.307,0.006,0.686,5
0,21.358,4.248,0.186,0.581,3
0,34.813,5.092,0.142,0.455,6
0,22.98,5.085,0.197,0.411,6
0,21.79,0.876,0.039,0.611,3
0,22.626,4.842,0.187,0.46,5
0,20.222,3.742,0.154,0.689,3
0,39.043,7.943,0.187,0.439,6
0,20.402,3.802,0.177,0.525,4
0,21.457,3.128,0.136,0.578,3
0,37.828,7.912,0.189,0.38,8
1,297.319,17.199,0.03,0.85,6
1,36.672,1.544,0.035,0.576,4
0,22.308,3.487,0.148,0.511,5
0,33.676,3.566,0.077,0.548,4
0,23.573,4.72,0.174,0.51,4
1,216.936,22.686,0.08,0.44,12
1,313.058,26.23,0.029,0.846,5
0,20.02,3.514,0.171,0.654,3
0,22.796,4.016,0.17,0.525,4
0,52.934,7.722,0.109,0.468,6
0,25.239,5.53,0.199,0.357,8
1,113.974,18.503,0.116,0.812,6
1,78.254,8.256,0.061,0.903,3
0,33.926,4.314,0.104,0.449,6
0,37.876,8.211,0.199,0.341,9
0,24.092,5.042,0.193,0.534,5
0,25.332,3.648,0.125,0.419,6
0,25.063,4.454,0.135,0.414,8
0,30.841,4.398,0.128,0.552,4
1,455.109,9.967,0.006,0.951,3
0,22.653,4.83,0.198,0.423,6
1,171.141,0.0,0.0,1.0,1
1,20.79,3.488,0.151,0.517,4
1,169.136,26.815,0.134,0.669,6
0,21.812,3.412,0.145,0.532,4
1,379.034,15.686,0.007,0.97,3
0,26.613,4.662,0.165,0.412,6
0,21.099,4.472,0.191,0.45,5
0,24.602,4.042,0.158,0.52,4
0,21.317,4.314,0.184,0.46,5
0,22.608,3.949,0.149,0.464,5
0,21.458,3.615,0.155,0.545,4
0,24.731,5.036,0.168,0.471,5
1,147.86,26.234,0.136,0.439,12
1,34.699,5.783,0.145,0.388,7
0,21.091,4.066,0.184,0.459,5
1,301.58,10.373,0.012,0.966,3
0,21.66,2.751,0.095,0.639,3
0,22.366,4.769,0.194,0.417,6
1,104.057,16.914,0.121,0.464,13
0,20.397,2.983,0.118,0.693,3
0,25.206,4.026,0.132,0.384,7
0,21.576,2.934,0.128,0.519,4
1,132.336,15.092,0.093,0.398,11
0,27.089,5.477,0.176,0.39,7
1,191.663,5.695,0.011,0.952,4
1,56.613,9.059,0.139,0.47,6
1,168.564,2.808,0.008,0.934,2
1,25.224,2.667,0.058,0.848,3
1,84.53,7.693,0.065,0.521,8
1,323.289,6.001,0.007,0.961,2
1,596.959,9.174,0.002,0.987,3
1,269.374,15.815,0.02,0.91,7
0,21.589,3.017,0.137,0.581,3
1,435.053,21.995,0.015,0.937,7
0,23.27,2.136,0.085,0.627,3
1,166.786,2.113,0.004,0.969,2
0,27.24,4.807,0.151,0.411,6
0,22.227,4.185,0.165,0.423,6
0,20.094,3.488,0.156,0.516,4
0,23.026,3.302,0.107,0.721,3
0,59.751,7.572,0.104,0.38,9
0,20.532,3.278,0.146,0.522,4
1,96.28,5.428,0.036,0.8,3
1,513.461,11.227,0.006,0.972,4
1,113.715,13.858,0.094,0.55,7
0,34.033,3.536,0.086,0.508,5
0,33.633,6.213,0.171,0.392,7
0,24.161,2.968,0.116,0.413,6
1,22.912,0.922,0.036,0.579,3
0,30.919,5.069,0.148,0.498,5
1,62.163,1.644,0.016,0.902,2
1,265.191,22.876,0.035,0.902,7
1,75.894,4.024,0.027,0.892,3
1,139.805,13.655,0.05,0.861,5
0,42.246,4.972,0.11,0.424,6
1,29.551,4.771,0.14,0.467,6
1,358.752,18.335,0.014,0.965,4
0,23.249,2.437,0.094,0.774,2
0,20.649,2.835,0.116,0.517,4
1,118.861,18.341,0.128,0.365,13
1,226.995,12.044,0.034,0.601,7
0,33.236,1.977,0.054,0.767,2
0,33.706,7.405,0.194,0.455,6
1,254.648,9.874,0.012,0.968,3
1,49.525,5.747,0.098,0.528,6
1,426.671,7.932,0.005,0.977,3
0,20.775,4.087,0.178,0.451,5
0,21.869,3.472,0.15,0.452,5
0,28.239,5.861,0.198,0.474,5
0,39.446,7.601,0.157,0.438,7
1,431.118,7.695,0.007,0.966,2
0,28.61,5.948,0.185,0.413,6
1,189.314,4.594,0.007,0.94,3
0,23.263,2.473,0.088,0.549,4
0,21.007,2.9,0.109,0.602,3
0,36.265,4.302,0.095,0.57,5
0,25.023,3.171,0.125,0.462,5
0,40.35,3.885,0.065,0.674,4
1,97.173,3.337,0.027,0.737,3
0,22.558,1.914,0.08,0.528,5
1,23.626,0.355,0.014,0.734,2
1,45.444,4.733,0.089,0.507,4
0,25.263,4.323,0.162,0.428,6
1,195.254,3.589,0.009,0.704,4
1,299.8,14.442,0.015,0.952,4
0,36.593,7.031,0.175,0.388,10
1,440.999,14.374,0.007,0.688,5
1,87.521,5.567,0.023,0.967,2
1,60.649,5.933,0.07,0.671,4
0,42.558,7.17,0.153,0.404,7
0,20.011,2.467,0.083,0.815,3
0,28.518,4.905,0.142,0.539,4
1,280.332,13.043,0.027,0.729,3
1,221.668,13.506,0.057,0.456,7
1,134.714,15.117,0.073,0.463,8
1,222.242,30.03,0.104,0.485,8
0,31.106,4.656,0.122,0.439,6
1,670.524,18.601,0.004,0.747,5
1,106.564,3.772,0.013,0.965,2
0,22.557,0.57,0.025,0.708,2
1,226.947,12.242,0.023,0.903,6
1,611.136,20.794,0.007,0.989,2
1,278.712,29.761,0.061,0.579,9
1,228.014,2.509,0.003,0.963,3
1,230.817,12.649,0.027,0.756,7
1,131.88,3.982,0.012,0.962,2
1,305.95,9.087,0.006,0.988,2
0,24.449,3.428,0.125,0.536,4
1,70.296,4.704,0.044,0.56,5
1,140.64,20.28,0.115,0.421,9
0,28.502,4.331,0.12,0.477,5
0,26.92,7.106,0.25,0.344,9
0,20.483,3.865,0.175,0.597,3
0,23.207,4.315,0.182,0.607,3
0,20.16,4.148,0.187,0.643,3
0,20.039,3.788,0.174,0.619,3
1,125.275,6.703,0.021,0.96,2
0,26.35,5.682,0.207,0.45,5
0,44.1,9.357,0.198,0.32,10
1,313.626,15.288,0.025,0.624,9
1,73.603,10.608,0.119,0.561,6
0,26.157,2.682,0.099,0.562,4
1,346.012,22.332,0.034,0.83,5
1,63.103,10.332,0.128,0.597,7
0,34.916,5.158,0.118,0.46,5
1,117.302,7.546,0.029,0.764,6
1,69.345,0.0,0.0,1.0,1
1,142.823,6.524,0.012,0.937,3
0,21.245,4.062,0.176,0.381,7
0,63.287,10.694,0.149,0.534,6
0,24.871,4.536,0.175,0.443,6
0,32.766,6.072,0.152,0.395,7
0,20.789,4.167,0.191,0.456,5
1,225.344,17.696,0.049,0.552,8
0,29.65,2.525,0.072,0.524,4
0,44.204,5.896,0.111,0.593,5
1,137.01,11.575,0.035,0.907,7
1,194.176,18.436,0.048,0.798,6
1,75.239,5.959,0.033,0.928,3
1,62.583,6.638,0.07,0.638,5
0,24.547,5.322,0.207,0.54,4
0,26.3,4.957,0.172,0.496,5
0,21.071,3.452,0.147,0.494,5
0,22.31,4.344,0.183,0.461,5
0,23.101,3.355,0.136,0.522,4
0,36.291,7.501,0.186,0.321,10
1,406.642,11.642,0.007,0.963,4
0,23.743,2.347,0.081,0.461,5
1,152.652,15.383,0.064,0.451,11
0,23.623,4.054,0.155,0.521,5
0,29.188,5.85,0.193,0.456,5
0,21.305,3.388,0.142,0.511,4
0,25.893,4.857,0.174,0.413,6
0,24.406,5.199,0.185,0.41,6
1,37.331,6.8,0.172,0.357,8
0,26.115,5.399,0.193,0.35,9
1,96.476,11.698,0.091,0.493,8
0,37.848,7.123,0.165,0.398,7
1,121.663,2.658,0.006,0.98,2
0,24.397,5.359,0.206,0.419,6
1,105.469,9.111,0.049,0.559,6
1,58.242,4.296,0.037,0.747,3
1,121.074,13.28,0.087,0.522,12
1,20.446,1.94,0.089,0.595,3
0,36.171,6.864,0.165,0.392,7
0,22.16,3.904,0.174,0.614,3
0,22.437,3.378,0.146,0.514,4
1,224.746,0.0,0.0,1.0,1
0,20.306,3.636,0.167,0.507,4
0,24.95,5.284,0.183,0.387,7
0,24.128,4.421,0.162,0.559,4
0,20.458,2.771,0.133,0.615,3
0,23.215,4.984,0.195,0.411,6
0,28.711,4.037,0.117,0.626,3
0,25.891,4.969,0.17,0.509,5
1,131.583,9.973,0.052,0.556,8
0,21.382,3.934,0.162,0.386,7
1,384.979,33.332,0.034,0.629,10
1,175.727,13.511,0.051,0.508,10
0,20.913,1.358,0.062,0.505,4
0,25.443,4.547,0.169,0.467,5
1,24.372,3.479,0.121,0.458,5
1,66.704,8.454,0.095,0.391,9
1,31.391,5.848,0.183,0.594,4
0,24.534,3.94,0.123,0.621,3
0,23.273,3.421,0.14,0.492,5
0,29.05,6.077,0.183,0.39,7
0,22.71,5.379,0.212,0.357,8
1,104.526,0.0,0.0,1.0,1
0,20.878,3.547,0.146,0.589,4
1,291.331,2.875,0.002,0.991,2
1,61.472,0.52,0.005,0.894,2
0,22.344,3.772,0.153,0.553,4
0,28.707,4.87,0.161,0.389,8
0,21.906,4.762,0.178,0.51,4
0,34.977,8.98,0.245,0.385,7
1,97.708,0.0,0.0,1.0,1
1,128.097,1.954,0.005,0.977,2
0,22.996,3.544,0.129,0.385,7
1,334.639,46.177,0.115,0.334,21
0,20.198,2.123,0.101,0.734,2
0,20.451,4.103,0.171,0.456,5
0,21.406,4.249,0.193,0.417,6
0,191.784,10.664,0.043,0.553,7
0,34.246,7.477,0.208,0.514,4
1,102.502,10.886,0.071,0.46,8
0,24.781,4.875,0.169,0.386,7
0,29.072,5.288,0.157,0.423,6
1,81.628,11.93,0.117,0.44,6
0,25.121,5.501,0.201,0.478,5
1,24.62,5.195,0.179,0.413,6
0,35.661,7.338,0.193,0.298,12
1,126.097,10.791,0.043,0.93,3
1,91.005,10.293,0.095,0.365,11
1,83.714,4.908,0.043,0.572,5
1,34.636,5.829,0.151,0.555,4
0,22.801,4.746,0.186,0.413,6
0,24.784,5.773,0.224,0.412,6
1,302.938,13.043,0.012,0.955,5
0,24.472,4.735,0.179,0.496,5
1,341.372,16.387,0.024,0.909,4
0,20.232,3.842,0.173,0.419,6
1,227.861,27.655,0.057,0.89,3
1,101.209,11.338,0.079,0.395,10
0,23.608,5.185,0.209,0.429,6
1,312.195,10.623,0.011,0.939,5
1,302.862,19.212,0.02,0.956,5
0,32.235,6.879,0.198,0.397,8
0,30.115,5.37,0.166,0.417,6
0,20.328,4.357,0.203,0.535,4
0,20.438,4.173,0.181,0.525,4
0,57.279,4.353,0.07,0.474,5
1,151.989,14.289,0.056,0.802,7
1,190.172,13.464,0.044,0.525,8
0,29.166,6.228,0.197,0.431,6
1,246.738,17.05,0.039,0.544,6
0,30.129,5.214,0.154,0.51,5
1,119.525,6.455,0.037,0.706,6
0,24.842,5.121,0.19,0.335,10
1,35.46,6.646,0.147,0.484,5
1,239.968,22.465,0.057,0.662,8
0,22.019,4.018,0.156,0.461,5
0,30.295,7.692,0.241,0.388,7
0,32.391,4.696,0.129,0.531,5
0,21.773,3.906,0.161,0.582,3
1,36.953,7.003,0.176,0.503,7
1,174.166,15.027,0.047,0.699,9
1,71.006,6.74,0.059,0.671,5
0,27.562,6.369,0.214,0.546,4
1,82.846,16.852,0.188,0.336,10
1,248.555,9.641,0.011,0.958,4
1,344.44,17.192,0.017,0.946,5
0,36.294,7.146,0.184,0.392,7
0,20.877,3.599,0.141,0.616,3
0,27.086,4.728,0.165,0.438,6
0,21.451,1.205,0.05,0.505,4
0,20.361,2.293,0.099,0.599,3
1,51.527,6.174,0.077,0.804,3
1,39.058,6.408,0.146,0.747,3
1,191.281,17.478,0.045,0.939,2
0,24.995,2.545,0.1,0.605,3
1,92.909,10.998,0.11,0.544,5
1,155.314,6.447,0.016,0.868,3
1,91.834,9.569,0.087,0.424,8
0,366.464,10.911,0.006,0.961,4
0,39.733,8.115,0.196,0.368,10
1,587.577,41.523,0.027,0.888,7
1,238.801,21.385,0.055,0.507,14
1,312.831,20.351,0.017,0.892,7
0,24.128,5.232,0.199,0.392,7
0,21.178,4.529,0.198,0.512,4
1,274.273,16.954,0.017,0.93,6
0,24.516,1.841,0.065,0.629,4
1,319.473,17.294,0.019,0.926,5
1,126.064,9.69,0.055,0.458,10
1,35.847,2.94,0.056,0.656,3
0,28.519,5.669,0.187,0.45,5
1,117.569,0.0,0.0,1.0,1
1,130.65,15.334,0.081,0.45,7
1,237.928,16.563,0.029,0.651,6
0,36.342,5.728,0.137,0.476,7
1,45.168,2.589,0.048,0.532,4
1,115.555,1.676,0.014,0.712,2
1,62.753,5.004,0.051,0.596,5
1,53.918,2.994,0.03,0.924,2
0,52.276,4.146,0.05,0.595,4
0,26.29,5.674,0.196,0.364,8
1,273.031,16.613,0.018,0.972,3
1,121.646,17.16,0.132,0.375,10
0,23.736,5.005,0.186,0.451,5
