background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,28.954,4.596,0.134,0.542,4
0,33.955,5.622,0.164,0.711,2
0,23.433,2.738,0.111,0.58,3
0,20.175,1.881,0.085,0.765,2
0,24.543,4.295,0.171,0.716,2
0,25.69,4.332,0.151,0.51,4
0,21.82,0.0,0.0,1.0,1
0,41.801,6.194,0.133,0.548,4
0,30.432,0.955,0.023,0.854,2
0,23.892,3.162,0.131,0.558,4
1,36.094,4.059,0.086,0.708,4
1,99.265,11.337,0.072,0.873,3
0,57.968,11.284,0.187,0.643,3
0,28.328,3.376,0.115,0.605,3
1,116.189,4.382,0.012,0.973,2
1,72.892,15.181,0.2,0.536,5
0,29.169,4.648,0.158,0.618,3
0,26.256,2.919,0.096,0.659,3
1,129.995,19.852,0.135,0.591,5
0,27.03,1.331,0.049,0.713,2
1,36.008,5.615,0.132,0.635,3
1,129.505,0.0,0.0,1.0,1
0,39.269,5.38,0.132,0.727,2
1,46.538,1.641,0.031,0.779,2
0,39.027,6.774,0.139,0.599,3
1,128.636,4.32,0.033,0.716,2
1,49.727,1.282,0.018,0.872,2
0,24.349,4.659,0.184,0.678,3
0,34.081,4.731,0.12,0.63,3
0,23.316,2.796,0.119,0.71,2
1,38.132,8.085,0.197,0.55,4
1,50.362,8.853,0.163,0.602,3
1,180.639,16.795,0.061,0.765,3
1,148.166,18.915,0.104,0.803,3
0,25.357,0.0,0.0,1.0,1
0,22.477,2.06,0.085,0.757,2
0,28.325,6.413,0.217,0.503,4
0,28.453,5.276,0.159,0.627,4
1,115.121,18.104,0.118,0.577,6
1,70.709,3.714,0.041,0.837,2
1,75.753,9.809,0.089,0.531,6
0,25.228,3.018,0.118,0.714,2
0,40.44,7.367,0.162,0.495,5
0,22.271,0.828,0.035,0.743,2
0,51.429,8.423,0.156,0.54,4
0,39.686,4.985,0.118,0.635,3
0,27.998,5.77,0.193,0.645,3
1,249.353,26.879,0.071,0.565,5
1,115.538,22.245,0.164,0.488,5
1,34.948,0.649,0.016,0.803,2
1,70.759,13.714,0.179,0.478,6
1,21.882,1.481,0.059,0.639,3
1,191.771,11.538,0.043,0.721,3
1,240.862,23.426,0.067,0.631,6
1,59.024,11.518,0.177,0.521,6
0,23.423,0.685,0.027,0.756,2
1,25.699,2.832,0.091,0.639,4
0,27.878,5.873,0.192,0.534,4
1,31.248,2.079,0.047,0.634,3
1,137.235,12.574,0.05,0.724,4
0,22.875,0.0,0.0,1.0,1
0,32.47,3.147,0.085,0.621,3
0,47.181,10.511,0.198,0.48,5
0,36.919,4.679,0.118,0.587,3
1,63.14,10.157,0.137,0.546,5
0,31.422,5.197,0.158,0.581,3
1,43.263,6.07,0.127,0.605,3
0,34.56,4.313,0.096,0.635,3
0,24.382,0.278,0.011,0.707,2
1,76.996,2.606,0.034,0.709,2
1,147.23,24.578,0.135,0.458,8
0,35.721,4.413,0.12,0.673,3
