background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,20.642,2.507,0.091,0.638,5
0,21.907,2.904,0.096,0.756,2
1,28.036,2.468,0.059,0.616,5
0,22.101,3.544,0.056,0.823,2
0,24.585,-3.052,0.067,0.702,3
1,36.6,2.65,0.031,0.926,2
0,23.605,-3.23,0.048,0.845,3
0,43.313,-2.767,0.014,0.978,2
1,20.094,-4.256,0.121,0.72,2
0,21.672,-0.814,0.055,0.787,4
0,28.698,-3.261,0.066,0.741,2
1,81.092,3.022,0.02,0.693,3
0,31.631,1.254,0.029,0.957,2
0,23.397,0.832,0.103,0.57,4
0,30.077,0.841,0.039,0.734,6
0,20.689,-1.346,0.048,0.904,3
0,39.369,2.897,0.054,0.745,2
1,27.784,2.611,0.072,0.757,2
0,20.075,-3.469,0.108,0.596,3
0,22.455,-3.023,0.065,0.868,2
0,21.105,1.033,0.063,0.541,6
1,32.899,3.354,0.042,0.902,2
0,20.169,0.198,0.114,0.521,5
0,36.511,-1.172,0.024,0.935,2
0,28.342,-1.319,0.056,0.762,3
1,22.79,3.609,0.102,0.733,2
1,84.347,3.436,0.026,0.71,2
1,161.614,0.108,0.001,0.998,2
0,25.018,-2.711,0.054,0.9,3
1,77.391,-3.553,0.014,0.903,2
0,23.904,4.283,0.079,0.829,2
0,40.218,3.556,0.061,0.71,2
0,23.029,-2.727,0.073,0.763,2
0,29.335,4.467,0.02,0.974,2
1,83.503,-2.973,0.009,0.975,2
0,27.017,0.049,0.055,0.723,2
0,29.661,-3.829,0.066,0.763,2
1,36.312,-4.1,0.051,0.716,2
1,156.398,-2.946,0.011,0.778,2
1,22.916,-3.43,0.055,0.907,2
1,25.166,-3.414,0.066,0.868,2
0,20.916,-3.575,0.107,0.592,3
0,20.282,-3.722,0.113,0.601,3
0,21.396,2.65,0.039,0.905,3
0,26.071,2.914,0.066,0.726,2
1,25.912,3.454,0.044,0.844,3
0,29.575,-2.895,0.055,0.764,2
0,29.706,3.086,0.02,0.966,2
0,21.87,2.338,0.071,0.675,6
1,24.366,-3.076,0.06,0.849,2
1,20.925,-3.637,0.074,0.799,2
0,32.922,2.616,0.013,0.945,3
1,43.239,3.124,0.034,0.715,3
1,33.227,3.68,0.046,0.785,2
0,23.411,-4.437,0.072,0.815,2
0,25.541,1.149,0.035,0.69,3
1,38.346,3.114,0.035,0.674,3
1,33.415,-2.665,0.021,0.961,2
1,25.762,-3.307,0.064,0.858,2
1,43.235,2.602,0.039,0.769,3
1,59.403,2.643,0.032,0.748,3
1,23.731,-2.829,0.081,0.807,2
0,21.261,0.028,0.099,0.648,4
0,26.275,2.806,0.085,0.745,2
0,21.248,2.244,0.064,0.625,7
1,23.688,-2.796,0.065,0.744,3
0,21.496,-1.252,0.097,0.613,5
1,76.372,-2.832,0.029,0.747,2
1,76.868,2.972,0.006,0.991,2
1,25.83,-3.844,0.031,0.943,2
1,76.22,3.51,0.011,0.937,2
0,25.39,3.616,0.077,0.707,2
0,21.415,1.235,0.075,0.788,3
1,46.038,3.13,0.021,0.943,4
1,31.248,-3.074,0.047,0.634,3
0,21.141,-2.742,0.048,0.813,3
0,20.529,-3.818,0.084,0.85,2
0,22.393,2.76,0.09,0.739,2
1,39.245,3.296,0.028,0.932,2
1,33.574,2.429,0.034,0.844,5
1,58.14,2.989,0.032,0.715,2
1,36.379,3.179,0.049,0.779,2
0,22.433,1.137,0.048,0.701,5
1,20.101,3.368,0.105,0.755,2
0,20.496,1.019,0.092,0.749,2
1,31.773,2.827,0.065,0.788,2
1,30.068,4.207,0.026,0.952,2
1,39.834,3.173,0.044,0.707,2
0,20.871,-2.746,0.107,0.751,2
1,21.281,4.283,0.066,0.862,2
0,20.017,-3.102,0.086,0.709,3
0,34.933,1.298,0.041,0.784,4
1,24.829,3.003,0.057,0.684,5
0,20.154,2.914,0.048,0.921,2
0,20.81,1.327,0.075,0.894,2
1,54.72,-3.289,0.015,0.959,3
1,71.191,-2.996,0.032,0.743,2
1,51.749,-3.018,0.019,0.894,2
0,20.349,2.87,0.096,0.731,2
1,34.447,3.529,0.05,0.707,2
1,20.899,3.83,0.06,0.903,2
1,86.674,3.941,0.005,0.983,2
1,29.728,-3.012,0.059,0.622,4
1,97.198,2.786,0.006,0.972,2
0,28.578,-3.025,0.065,0.844,2
0,22.791,2.95,0.088,0.798,3
0,23.984,2.98,0.068,0.834,2
0,20.527,3.518,0.091,0.792,2
1,26.258,2.818,0.045,0.914,2
0,20.247,2.778,0.072,0.841,2
0,22.119,3.121,0.102,0.585,3
0,20.624,-3.134,0.083,0.593,3
0,22.392,-1.143,0.084,0.784,3
1,82.079,3.164,0.016,0.91,2
1,75.15,-4.031,0.022,0.863,2
0,20.751,-2.995,0.101,0.801,2
0,21.553,-3.343,0.082,0.708,2
1,58.723,-3.094,0.022,0.816,2
0,25.253,-3.073,0.049,0.645,5
0,26.217,-2.925,0.085,0.726,2
0,21.34,3.007,0.056,0.909,2
1,21.232,3.318,0.081,0.777,2
1,23.858,-3.505,0.099,0.743,2
0,21.05,-3.562,0.106,0.709,2
1,26.219,3.882,0.06,0.868,2
0,23.966,-3.51,0.076,0.71,2
1,40.543,-3.375,0.03,0.932,2
0,20.33,-0.491,0.069,0.739,5
1,43.827,-3.959,0.014,0.967,2
1,32.397,2.983,0.058,0.71,2
1,21.046,-3.739,0.052,0.93,2
1,98.896,-2.259,0.006,0.977,2
1,21.308,3.348,0.041,0.919,2
0,20.004,1.135,0.055,0.883,3
1,25.992,4.131,0.063,0.763,2
1,49.717,3.459,0.025,0.908,2
0,23.97,-0.144,0.062,0.782,3
1,21.739,-4.332,0.077,0.774,2
1,41.939,3.275,0.029,0.925,2
0,25.995,3.506,0.094,0.711,2
1,21.914,-4.435,0.076,0.733,2
0,21.593,3.103,0.102,0.663,3
0,24.639,-0.801,0.071,0.616,6
1,66.81,3.624,0.029,0.71,2
0,23.27,3.597,0.076,0.86,2
1,40.018,-2.856,0.03,0.842,2
1,29.778,2.993,0.026,0.958,2
1,22.975,-4.032,0.075,0.715,2
1,32.366,2.915,0.044,0.797,2
0,20.218,-1.097,0.095,0.687,5
1,68.57,-2.781,0.026,0.84,2
1,25.11,-3.234,0.073,0.705,3
0,29.134,2.747,0.033,0.95,2
0,21.921,-3.666,0.09,0.779,2
1,46.538,-3.04,0.031,0.779,2
1,50.449,2.96,0.038,0.747,2
1,34.84,4.007,0.052,0.708,2
0,32.523,-2.85,0.067,0.71,2
1,20.17,3.077,0.094,0.77,2
0,20.356,3.025,0.08,0.654,4
1,25.214,2.688,0.045,0.936,2
0,21.722,-2.973,0.098,0.746,2
0,20.129,3.153,0.091,0.802,2
0,20.593,-3.159,0.095,0.708,3
1,26.276,3.546,0.084,0.707,2
0,20.17,3.4,0.075,0.84,2
0,21.858,2.526,0.097,0.579,6
0,21.141,1.26,0.067,0.522,5
0,24.099,0.698,0.044,0.942,2
0,31.78,-1.318,0.046,0.793,3
1,51.757,-3.168,0.037,0.712,3
0,23.948,2.072,0.06,0.501,7
0,23.955,-4.423,0.057,0.86,2
