background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,21.266,-0.726,0.097,0.622,5
1,25.423,-3.968,0.116,0.711,2
1,31.773,-3.437,0.047,0.92,2
0,23.469,-2.599,0.098,0.744,3
0,24.168,-2.763,0.074,0.676,4
0,20.704,-1.202,0.138,0.457,8
1,31.45,-4.45,0.076,0.829,2
1,46.34,-3.599,0.061,0.723,2
0,24.008,2.931,0.125,0.708,2
0,20.102,3.077,0.142,0.719,2
1,22.919,-3.232,0.123,0.582,3
1,39.3,-3.359,0.059,0.731,3
1,31.202,3.228,0.094,0.618,3
0,22.431,2.072,0.129,0.576,7
0,22.388,-2.693,0.098,0.794,2
0,20.91,-4.383,0.121,0.719,2
1,45.839,-4.437,0.026,0.959,2
0,22.652,0.318,0.104,0.63,5
0,20.024,-2.205,0.117,0.481,8
1,37.48,-3.492,0.029,0.952,2
0,20.523,-1.009,0.123,0.434,7
1,62.766,-4.069,0.013,0.981,2
0,22.465,-0.412,0.137,0.547,5
0,22.285,-1.569,0.111,0.437,6
0,26.322,-2.827,0.103,0.747,3
0,20.04,3.692,0.149,0.731,2
0,24.464,-0.987,0.094,0.719,6
0,21.841,-1.958,0.106,0.375,10
1,67.453,2.877,0.041,0.72,2
1,25.141,3.635,0.065,0.906,2
0,21.469,-2.953,0.128,0.585,3
1,87.253,3.552,0.011,0.977,2
1,41.072,3.057,0.041,0.634,3
1,20.219,3.648,0.116,0.684,3
0,32.596,-3.948,0.08,0.761,2
1,32.765,-4.026,0.032,0.959,2
1,58.734,-0.591,0.01,0.955,3
0,22.045,1.889,0.124,0.409,8
1,41.486,-3.294,0.047,0.859,2
0,24.559,2.781,0.086,0.808,2
0,25.651,0.227,0.082,0.518,5
0,21.08,1.326,0.118,0.711,4
0,20.249,0.728,0.118,0.437,6
1,25.084,-2.905,0.111,0.608,3
0,22.973,3.438,0.115,0.71,2
0,27.801,2.948,0.105,0.711,2
0,20.095,3.776,0.136,0.711,2
0,21.715,2.369,0.121,0.536,5
1,24.821,-4.47,0.088,0.791,2
0,23.807,-0.602,0.091,0.559,4
0,23.473,-3.383,0.115,0.651,3
1,32.902,-3.267,0.055,0.782,3
0,21.958,0.378,0.133,0.396,7
1,35.109,3.645,0.057,0.851,2
1,36.52,4.193,0.04,0.948,2
0,24.393,-2.39,0.071,0.692,4
0,24.212,3.034,0.1,0.643,3
1,55.159,-3.728,0.027,0.913,2
1,56.008,-3.339,0.027,0.939,2
1,23.271,2.686,0.089,0.756,4
0,24.203,1.37,0.11,0.468,7
1,45.565,3.695,0.033,0.916,2
0,21.773,-3.348,0.135,0.626,4
0,27.677,3.487,0.089,0.747,2
1,36.67,-3.104,0.057,0.702,3
1,95.612,-3.062,0.019,0.65,3
0,20.543,0.658,0.143,0.4,8
1,273.584,2.836,0.007,0.864,2
0,22.208,2.735,0.138,0.729,2
1,24.331,3.707,0.106,0.733,2
0,21.732,0.89,0.116,0.62,3
1,45.069,2.669,0.042,0.87,3
0,25.741,1.121,0.102,0.632,5
0,20.146,1.16,0.113,0.514,5
