background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,29.926,5.634,0.166,0.428,10
0,33.663,7.147,0.185,0.304,18
0,21.566,3.351,0.136,0.355,14
1,131.249,13.816,0.075,0.647,20
1,150.023,21.695,0.112,0.516,22
0,124.098,18.619,0.109,0.401,23
1,32.276,5.767,0.135,0.553,18
0,22.805,4.151,0.159,0.531,10
1,157.262,15.721,0.048,0.734,11
1,158.864,15.833,0.06,0.582,22
0,21.429,4.594,0.196,0.269,18
1,582.566,27.925,0.013,0.954,12
0,37.993,9.182,0.221,0.307,18
0,29.871,7.333,0.229,0.252,22
1,23.627,4.241,0.153,0.343,17
0,21.069,4.578,0.194,0.295,16
1,48.702,2.338,0.022,0.765,4
0,47.259,12.582,0.244,0.247,26
0,20.708,3.958,0.166,0.296,20
1,207.344,10.244,0.015,0.95,8
0,49.185,6.187,0.096,0.432,13
1,63.659,7.517,0.084,0.452,13
1,76.698,2.964,0.012,0.969,4
0,94.843,5.649,0.017,0.971,5
1,82.169,10.062,0.069,0.768,16
1,230.703,32.465,0.107,0.4,15
1,69.79,11.075,0.129,0.323,24
0,27.784,2.735,0.047,0.827,8
1,158.095,12.381,0.028,0.942,8
0,21.42,3.25,0.122,0.388,13
0,20.07,5.782,0.273,0.254,20
0,24.851,5.479,0.198,0.264,17
0,20.132,3.833,0.155,0.409,10
0,57.98,7.949,0.121,0.293,18
1,300.496,22.889,0.029,0.878,18
0,20.906,3.926,0.178,0.567,8
0,29.144,4.54,0.135,0.404,12
1,433.302,23.471,0.014,0.925,11
0,23.776,5.541,0.214,0.248,20
0,32.505,7.236,0.205,0.273,16
1,116.213,11.502,0.059,0.511,16
0,23.178,5.656,0.223,0.252,19
1,50.278,9.148,0.145,0.282,20
1,663.656,39.87,0.02,0.94,20
0,41.968,7.313,0.136,0.386,15
0,32.927,7.712,0.204,0.281,24
1,72.124,8.917,0.087,0.385,19
0,25.247,4.865,0.172,0.305,15
1,322.342,15.605,0.016,0.924,9
0,73.705,10.67,0.089,0.723,17
1,109.992,6.71,0.022,0.938,8
1,145.262,15.187,0.052,0.631,16
0,26.332,6.657,0.23,0.316,16
0,39.612,8.82,0.192,0.368,19
1,103.216,12.864,0.106,0.397,16
0,25.247,5.888,0.207,0.295,20
1,71.546,13.624,0.163,0.39,16
0,32.553,7.001,0.192,0.23,25
0,23.643,5.493,0.213,0.341,15
1,159.97,17.417,0.052,0.903,12
1,111.625,20.07,0.152,0.682,16
0,23.418,4.049,0.155,0.356,10
0,20.447,5.086,0.233,0.315,16
0,33.316,7.724,0.215,0.248,24
1,83.071,14.34,0.134,0.312,21
0,41.902,8.862,0.186,0.403,11
0,21.125,4.918,0.214,0.276,18
