background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1,87.547,7.889,0.055,0.616,5
1,212.102,35.553,0.138,0.565,6
1,146.144,17.468,0.076,0.65,4
1,105.232,5.32,0.024,0.679,3
0,51.474,7.59,0.136,0.757,2
1,84.764,8.922,0.094,0.67,3
1,27.952,2.369,0.062,0.844,3
0,20.941,1.742,0.083,0.711,2
0,25.219,4.264,0.158,0.649,3
1,43.25,3.404,0.078,0.712,2
0,21.093,2.61,0.075,0.871,4
0,33.563,2.493,0.059,0.655,3
0,25.491,4.179,0.133,0.538,4
1,30.529,5.838,0.172,0.687,7
1,246.659,36.125,0.084,0.683,7
1,34.918,4.947,0.109,0.511,10
0,27.932,3.252,0.106,0.589,7
0,20.783,4.08,0.17,0.59,5
0,24.436,0.0,0.0,1.0,1
1,63.934,4.186,0.034,0.694,4
1,210.143,14.312,0.038,0.765,8
0,32.436,7.184,0.216,0.582,5
0,27.562,4.192,0.151,0.708,2
1,119.211,12.824,0.064,0.766,5
1,108.538,11.141,0.081,0.511,5
1,21.486,1.767,0.055,0.685,4
1,20.274,3.804,0.177,0.656,3
0,22.47,3.648,0.143,0.589,5
1,67.339,12.8,0.177,0.515,5
1,51.749,1.557,0.019,0.894,3
0,24.987,4.127,0.155,0.68,3
1,159.6,15.419,0.055,0.84,4
0,36.043,5.437,0.132,0.497,5
0,26.162,1.149,0.039,0.779,2
1,70.128,0.0,0.0,1.0,1
0,41.533,8.079,0.155,0.566,4
1,95.516,10.544,0.07,0.587,5
1,177.934,9.002,0.028,0.765,3
0,39.335,6.086,0.121,0.515,5
1,59.578,3.181,0.053,0.715,2
1,70.371,6.319,0.064,0.597,4
0,51.643,10.965,0.193,0.418,10
1,54.921,10.703,0.187,0.609,4
0,20.493,3.308,0.141,0.783,2
0,27.794,3.845,0.137,0.713,2
1,61.102,5.752,0.079,0.693,3
1,61.525,8.009,0.095,0.491,6
1,306.021,22.47,0.053,0.806,8
0,26.687,3.61,0.128,0.5,11
0,44.325,7.519,0.163,0.502,5
1,78.565,9.317,0.084,0.693,5
1,208.344,9.224,0.025,0.711,4
0,22.822,5.328,0.225,0.591,4
0,21.369,0.0,0.0,1.0,1
0,22.882,2.114,0.066,0.862,2
0,27.532,5.968,0.198,0.547,4
0,24.473,2.964,0.096,0.809,3
0,106.251,10.988,0.087,0.749,3
1,52.307,3.851,0.073,0.711,2
0,25.178,2.756,0.071,0.588,5
0,21.883,4.44,0.198,0.626,3
1,46.387,7.17,0.129,0.615,3
0,25.446,3.71,0.118,0.663,3
0,24.292,0.0,0.0,1.0,1
1,24.829,1.895,0.057,0.684,5
1,39.763,3.809,0.076,0.792,3
0,24.449,3.957,0.16,0.593,3
0,27.019,1.584,0.058,0.711,2
1,26.642,3.362,0.126,0.707,3
0,22.942,4.591,0.178,0.473,8
1,127.043,13.999,0.08,0.659,4
1,76.081,5.669,0.039,0.642,5
0,38.48,7.594,0.187,0.479,8
0,39.411,9.513,0.227,0.377,10
1,126.659,14.178,0.098,0.58,4
0,25.089,2.087,0.081,0.721,2
1,70.232,10.545,0.133,0.695,3
0,21.692,0.0,0.0,1.0,1
0,22.975,2.736,0.083,0.625,5
1,118.411,2.913,0.02,0.811,2
1,22.582,1.633,0.065,0.744,4
0,38.226,4.772,0.091,0.855,2
1,21.676,0.0,0.0,1.0,1
0,28.989,4.783,0.146,0.416,10
0,78.314,13.085,0.116,0.571,7
0,31.728,5.225,0.139,0.565,5
1,73.507,3.999,0.043,0.573,6
1,97.277,4.958,0.045,0.785,2
1,58.206,4.873,0.079,0.612,4
0,26.432,5.278,0.197,0.591,4
1,310.801,22.31,0.032,0.824,8
0,33.901,0.0,0.0,1.0,1
0,72.943,8.42,0.085,0.539,11
0,21.151,2.292,0.064,0.909,2
1,150.95,3.796,0.023,0.77,2
1,50.527,6.708,0.094,0.67,4
1,74.619,10.285,0.128,0.566,6
1,82.472,5.95,0.031,0.835,3
1,20.628,-0.0,0.0,1.0,2
0,21.857,2.346,0.083,0.699,4
0,23.63,2.593,0.078,0.546,4
1,91.824,11.866,0.099,0.518,7
1,81.35,4.868,0.055,0.604,3
0,27.036,3.606,0.128,0.66,3
1,205.694,0.0,0.0,1.0,1
0,42.807,8.505,0.181,0.455,5
1,148.519,13.312,0.056,0.654,7
0,23.88,1.075,0.023,0.929,2
1,47.778,4.261,0.078,0.519,6
1,83.551,9.477,0.064,0.632,5
1,129.47,11.304,0.046,0.915,3
1,119.321,12.567,0.059,0.756,6
1,156.608,16.814,0.067,0.805,5
1,115.55,7.08,0.049,0.825,2
0,24.05,3.279,0.119,0.685,5
0,35.832,3.636,0.091,0.661,4
0,25.023,3.489,0.12,0.615,3
1,26.856,2.998,0.088,0.746,6
0,50.226,5.89,0.106,0.687,5
1,94.98,5.709,0.023,0.723,3
0,45.816,10.743,0.207,0.499,6
0,24.44,1.416,0.057,0.717,2
1,174.789,6.204,0.01,0.979,2
0,20.847,3.037,0.109,0.764,4
1,58.185,3.184,0.022,0.96,3
1,82.606,7.664,0.048,0.928,3
1,142.714,20.193,0.109,0.589,5
1,100.53,6.925,0.04,0.699,4
1,227.649,20.033,0.044,0.647,8
1,48.861,5.167,0.088,0.593,4
0,40.645,7.906,0.184,0.464,7
0,22.881,3.746,0.155,0.627,3
0,22.427,0.946,0.042,0.709,2
0,30.157,4.06,0.126,0.507,5
1,237.757,14.739,0.046,0.711,3
0,36.944,4.07,0.095,0.664,4
0,28.243,4.402,0.141,0.687,3
0,39.558,9.173,0.209,0.499,6
1,37.277,7.71,0.169,0.504,4
1,55.148,4.335,0.06,0.612,4
1,150.805,7.155,0.043,0.65,4
0,44.898,8.38,0.16,0.475,9
1,162.024,14.112,0.066,0.74,3
0,55.308,8.646,0.137,0.513,5
1,276.808,28.133,0.066,0.747,8
1,93.59,2.696,0.018,0.896,2
1,50.507,0.0,0.0,1.0,1
1,57.876,8.281,0.118,0.809,2
0,22.88,0.0,0.0,1.0,1
0,27.584,5.351,0.169,0.521,10
1,54.003,5.115,0.084,0.608,4
0,24.655,3.999,0.142,0.607,3
1,48.817,2.869,0.044,0.606,4
1,131.348,18.765,0.101,0.555,8
1,42.694,5.163,0.091,0.694,3
1,44.65,2.327,0.05,0.664,3
0,21.254,0.0,0.0,1.0,1
0,21.937,4.559,0.149,0.616,3
1,56.33,9.25,0.159,0.722,2
0,48.922,6.956,0.127,0.583,3
0,44.3,5.94,0.086,0.505,8
0,45.996,3.968,0.052,0.905,2
0,24.259,4.372,0.165,0.603,3
0,22.67,1.918,0.062,0.708,3
0,25.474,4.3,0.155,0.594,4
1,81.508,11.395,0.106,0.641,4
1,43.727,0.0,0.0,1.0,1
1,90.473,5.471,0.034,0.71,3
1,27.976,0.465,0.016,0.712,2
1,83.711,6.821,0.039,0.677,5
0,38.179,9.538,0.234,0.524,5
1,169.767,26.612,0.136,0.675,4
1,27.28,3.862,0.135,0.736,2
1,79.532,0.0,0.0,1.0,1
1,41.202,0.0,0.0,1.0,1
0,92.94,11.676,0.112,0.56,6
1,124.52,13.913,0.065,0.604,5
0,20.231,4.133,0.189,0.598,3
1,53.447,5.166,0.09,0.645,4
0,22.427,0.0,0.0,1.0,1
0,21.625,1.419,0.031,0.926,3
0,26.025,5.976,0.212,0.553,4
0,22.991,3.998,0.152,0.553,5
0,24.299,2.438,0.057,0.915,2
1,104.59,14.269,0.109,0.601,5
0,22.052,3.975,0.151,0.484,5
1,26.619,1.049,0.037,0.751,2
1,152.179,12.535,0.06,0.82,4
1,35.52,0.0,0.0,1.0,1
0,39.708,7.784,0.174,0.556,7
1,50.221,3.514,0.05,0.864,2
1,41.508,6.302,0.104,0.6,6
1,58.501,3.278,0.047,0.664,6
0,23.739,3.696,0.145,0.454,5
1,41.686,0.0,0.0,1.0,1
1,35.692,4.376,0.091,0.755,4
0,38.253,4.427,0.106,0.53,6
0,21.969,2.913,0.125,0.714,3
0,31.949,5.938,0.143,0.554,4
1,183.854,8.83,0.013,0.976,3
0,29.706,3.35,0.105,0.588,3
