background/signal,pT GeV,y,mass GeV,width,ptD,#of constituents
 1,    78.621,    -2.354,    10.910,     0.099,     0.442,   15
 1,    31.948,     1.712,     4.906,     0.129,     0.454,   12
 0,    29.879,     0.377,     6.231,     0.169,     0.346,   19
 0,    22.829,    -1.352,     5.721,     0.227,     0.277,   16
 0,    23.905,     0.251,     4.035,     0.147,     0.564,    7
 1,   176.455,     0.441,    15.551,     0.041,     0.856,   14
 1,    58.374,     3.556,     0.000,     0.000,     1.000,    1
 0,    22.547,     1.810,     5.605,     0.232,     0.272,   21
 1,    25.166,    -3.414,     2.366,     0.066,     0.868,    2
 1,    24.701,    -2.956,     3.998,     0.124,     0.676,    3
 1,   543.955,     0.788,    37.039,     0.023,     0.929,   13
 1,   223.615,    -2.056,    21.693,     0.057,     0.490,   15
 0,    22.059,    -0.536,     6.238,     0.264,     0.287,   21
 0,    21.661,    -1.894,     5.735,     0.245,     0.252,   22
 0,    23.469,    -0.694,     5.185,     0.198,     0.253,   21
 0,    20.508,    -0.351,     5.005,     0.216,     0.265,   20
 0,    23.483,    -1.353,     5.065,     0.196,     0.311,   16
 0,    27.610,     4.145,     0.000,     0.000,     1.000,    1
 0,    26.169,    -4.491,     4.129,     0.154,     0.720,    2
 0,    26.153,     3.744,     4.841,     0.181,     0.655,    3
 0,    25.903,     4.255,     0.000,     0.000,     1.000,    1
 1,   286.653,    -0.207,    28.375,     0.044,     0.878,   13
 1,    82.097,     2.215,    10.073,     0.086,     0.542,   13
 0,    46.149,     0.404,    11.751,     0.228,     0.237,   22
 0,    34.717,     1.274,     6.213,     0.153,     0.300,   20
 0,    32.943,    -2.206,     8.468,     0.237,     0.213,   29
 0,    25.324,     1.564,     5.542,     0.200,     0.332,   23
 0,    25.444,     0.332,     5.876,     0.201,     0.295,   20
 1,    40.862,    -3.922,     3.142,     0.051,     0.882,    2
 0,    28.071,    -0.152,     5.476,     0.166,     0.332,   14
 0,    33.366,     4.101,     0.000,     0.000,     1.000,    1
 0,    24.354,    -4.144,     0.000,     0.000,     1.000,    1
 0,    33.770,     4.413,     4.159,     0.100,     0.769,    3
 0,    32.074,     4.303,     3.159,     0.096,     0.724,    2
 0,    20.273,     3.732,     3.086,     0.139,     0.761,    2
 0,    20.253,     2.851,     1.843,     0.087,     0.580,    3
 1,   462.398,    -1.143,    26.152,     0.015,     0.958,   12
 1,   379.971,     2.069,    20.144,     0.014,     0.967,    6
 1,    62.959,     3.977,     0.000,     0.000,     1.000,    1
 0,    32.383,     0.403,     7.937,     0.229,     0.261,   18
 0,    22.908,     1.211,     6.295,     0.258,     0.276,   16
 0,    32.545,    -1.211,     7.237,     0.200,     0.280,   16
 0,    27.182,     0.481,     5.454,     0.185,     0.316,   16
 0,    28.109,     2.664,     5.825,     0.192,     0.407,   10
 0,    24.626,    -1.151,     4.613,     0.164,     0.436,   10
 0,    31.832,     3.681,     5.488,     0.167,     0.649,    3
 0,   798.833,    -0.676,    58.472,     0.019,     0.952,   13
 0,    24.164,    -0.706,     5.622,     0.218,     0.275,   21
 0,    27.219,     0.963,     6.533,     0.226,     0.355,   15
 0,    21.165,     0.407,     4.478,     0.185,     0.385,   15
 0,    24.403,    -1.399,     5.188,     0.189,     0.303,   16
 1,    39.553,     3.287,     7.211,     0.138,     0.665,    4
 1,    84.461,     1.425,    12.265,     0.104,     0.568,   19
 0,    29.076,    -0.948,     6.780,     0.207,     0.326,   14
 0,    23.314,     1.804,     5.473,     0.212,     0.362,   14
 0,    25.190,     0.572,     6.275,     0.233,     0.311,   14
 1,  1002.250,     0.761,    52.303,     0.014,     0.941,   14
 0,    23.519,     0.645,     3.998,     0.150,     0.361,   16
 0,    21.942,    -1.052,     5.040,     0.206,     0.452,   14
 1,    21.413,    -3.918,     2.149,     0.099,     0.712,    2
 1,   151.646,    -0.401,    13.352,     0.033,     0.903,   11
 0,    29.152,     0.389,     6.717,     0.201,     0.326,   14
 0,    23.458,     1.291,     4.837,     0.189,     0.382,   12
 0,    24.877,    -1.046,     4.840,     0.157,     0.369,   13
 0,    21.146,     0.436,     4.509,     0.187,     0.377,   13
 1,    21.478,     2.429,     1.286,     0.034,     0.844,    5
 0,    21.475,     2.973,     2.730,     0.123,     0.728,    2
 0,    21.204,    -3.120,     2.899,     0.102,     0.685,    4
 1,   255.200,     0.115,    16.091,     0.016,     0.946,   12
 1,   117.624,     3.864,    18.201,     0.116,     0.758,    4
 1,    66.256,    -3.655,     2.333,     0.008,     0.988,    2
 0,    33.337,     2.017,     8.127,     0.217,     0.257,   20
 0,    28.223,    -1.223,     6.846,     0.232,     0.349,   18
 0,    40.193,    -2.751,     5.351,     0.123,     0.678,    4
 0,    21.243,     2.570,     3.301,     0.139,     0.683,    5
 0,    22.627,    -3.637,     4.041,     0.159,     0.775,    2
 1,   479.825,     1.976,    32.192,     0.021,     0.920,   14
 0,    28.731,     2.124,     6.547,     0.205,     0.252,   22
 0,    23.588,    -2.071,     6.195,     0.245,     0.216,   24
 0,    21.561,     0.193,     4.635,     0.195,     0.275,   21
 0,    29.043,    -1.230,     3.900,     0.120,     0.634,    7
 1,    33.437,     2.912,     4.409,     0.126,     0.586,    4
 0,   740.379,    -0.062,    26.473,     0.007,     0.967,   11
 0,    23.190,    -0.681,     5.465,     0.212,     0.378,   18
 0,    29.820,    -1.120,     4.824,     0.125,     0.491,   12
 1,    38.625,     3.648,     6.608,     0.150,     0.783,    2
 0,    27.050,    -4.342,     0.000,     0.000,     1.000,    1
 1,   817.402,     1.740,    70.815,     0.047,     0.598,   24
 1,   481.936,    -1.331,    41.785,     0.029,     0.894,   18
 0,   276.927,     0.623,    29.279,     0.045,     0.902,   12
 0,    51.711,    -1.025,    12.191,     0.220,     0.260,   20
 0,    31.845,     2.857,     4.563,     0.125,     0.742,    3
 1,    31.271,    -4.190,     0.000,     0.000,     1.000,    1
 0,    27.797,     4.381,     5.758,     0.189,     0.611,    3
 0,    21.069,    -2.779,     0.614,     0.028,     0.735,    2
 0,    20.260,    -3.767,     2.678,     0.128,     0.727,    2
 1,   596.323,    -0.932,    45.540,     0.028,     0.942,   14
 0,    46.642,    -1.579,    11.599,     0.231,     0.242,   25
 0,    30.990,    -1.044,     7.753,     0.226,     0.275,   18
 0,    20.347,    -2.191,     3.974,     0.182,     0.251,   22
 0,    20.633,    -0.036,     5.364,     0.244,     0.273,   21
 1,    43.827,    -3.959,     1.740,     0.014,     0.967,    2
 0,    34.721,    -3.458,     6.011,     0.171,     0.533,    5
 1,    34.456,     4.405,     5.194,     0.116,     0.837,    2
 1,   100.409,    -2.956,     0.000,     0.000,     1.000,    1
 1,    80.803,     3.566,     0.000,     0.000,     1.000,    1
 0,    32.934,     1.583,     7.143,     0.182,     0.449,   12
 0,    26.585,    -0.113,     5.792,     0.189,     0.409,   16
 1,    28.782,    -3.366,     2.862,     0.092,     0.753,    2
 1,   478.804,     1.493,    31.571,     0.023,     0.624,   16
 0,    27.582,    -0.449,     6.032,     0.189,     0.255,   23
 0,    28.416,    -1.322,     6.035,     0.179,     0.341,   17
 1,    32.757,    -1.736,     6.350,     0.174,     0.293,   19
 0,    28.705,    -1.583,     6.869,     0.224,     0.257,   21
 0,    23.829,     0.003,     5.794,     0.219,     0.291,   17
 0,    21.632,    -1.087,     4.602,     0.189,     0.369,   13
 1,   347.350,     0.383,    16.859,     0.014,     0.944,   11
 0,    34.747,     0.842,     7.734,     0.204,     0.248,   23
 1,    56.156,    -2.816,     6.279,     0.076,     0.659,    3
 0,    26.463,     0.984,     6.331,     0.218,     0.259,   19
 0,    29.603,     0.073,     7.587,     0.238,     0.324,   14
 0,    25.973,    -0.685,     6.807,     0.249,     0.305,   16
 0,    22.997,    -1.321,     5.129,     0.213,     0.327,   14
 0,    36.582,     3.907,     7.085,     0.180,     0.609,    3
 0,    25.752,    -3.503,     4.029,     0.141,     0.767,    2
 1,   153.480,    -2.496,     5.412,     0.014,     0.924,    3
 0,   130.132,    -1.947,    18.859,     0.096,     0.465,   30
 0,    41.817,    -1.233,     9.433,     0.214,     0.231,   26
 0,    22.404,    -1.503,     6.044,     0.248,     0.248,   27
 0,    56.192,    -4.470,     7.935,     0.105,     0.848,    2
 0,    20.433,     1.350,     4.734,     0.208,     0.299,   20
 0,    26.441,     3.067,     4.579,     0.159,     0.641,    4
 0,    20.799,    -3.571,     2.914,     0.134,     0.736,    2
 1,   329.169,     0.566,    17.017,     0.012,     0.973,    6
 1,   208.135,    -3.173,    16.948,     0.057,     0.656,    5
 0,    87.844,     3.093,    17.352,     0.188,     0.377,    9
 0,    60.646,     1.217,     9.883,     0.137,     0.343,   18
 1,    58.020,     4.455,     7.352,     0.111,     0.783,    2
 0,    32.339,     0.778,     6.618,     0.191,     0.461,   13
 0,    22.074,     1.149,     5.255,     0.211,     0.333,   17
 0,    29.149,    -1.156,     5.923,     0.169,     0.354,   12
 0,    23.548,    -2.879,     2.500,     0.081,     0.629,    4
 0,    24.967,     3.727,     2.764,     0.089,     0.822,    2
 1,   394.372,     2.152,    31.927,     0.027,     0.921,   12
 1,   275.859,    -0.433,    24.969,     0.031,     0.910,   12
 1,   162.756,    -2.082,    12.167,     0.038,     0.775,   10
 1,    49.216,     3.013,    10.245,     0.195,     0.506,    5
 0,    40.098,     2.580,     6.047,     0.126,     0.634,    5
 0,    21.931,    -0.912,     4.342,     0.171,     0.350,   13
 0,    20.132,     3.019,     1.593,     0.062,     0.562,    4
 1,   523.498,     1.139,    26.764,     0.010,     0.965,   14
 0,   130.248,    -0.435,    28.239,     0.184,     0.313,   25
 1,   141.742,    -2.756,    16.942,     0.076,     0.650,    4
 1,    93.768,    -1.460,     9.642,     0.045,     0.620,    9
 0,    40.284,    -1.648,     7.589,     0.159,     0.388,   17
 1,    60.661,     4.044,    11.500,     0.178,     0.639,    3
 0,    56.024,    -3.063,     5.157,     0.073,     0.689,    5
 0,    31.639,     1.074,     5.855,     0.159,     0.572,   10
 0,    20.032,     0.297,     5.320,     0.245,     0.314,   17
 0,    20.908,     0.555,     4.465,     0.196,     0.339,   15
 0,    21.979,    -1.466,     5.293,     0.226,     0.429,   14
 0,    27.937,    -4.375,     2.445,     0.087,     0.714,    2
 1,    27.214,     3.256,     4.698,     0.169,     0.583,    4
 0,    25.705,    -3.510,     2.358,     0.080,     0.784,    2
 0,    21.591,     3.617,     2.351,     0.105,     0.730,    2
 1,   552.456,    -0.967,    23.231,     0.008,     0.982,   10
 1,    66.388,    -4.084,     0.000,     0.000,     1.000,    1
 1,    70.469,     4.105,     0.000,     0.000,     1.000,    1
 0,    21.890,     0.127,     5.432,     0.227,     0.328,   13
 0,    21.525,    -3.602,     5.018,     0.229,     0.489,    5
 1,   171.665,    -0.183,    13.450,     0.027,     0.904,    9
 0,    41.425,     1.322,     8.466,     0.188,     0.347,   17
 0,    22.008,     1.016,     4.944,     0.205,     0.392,   14
 1,    27.249,     3.968,     0.000,     0.000,     1.000,    1
 0,    22.568,    -2.802,     1.247,     0.053,     0.731,    2
 1,   550.887,     1.558,    30.141,     0.016,     0.949,   13
 1,    53.062,    -3.930,     8.520,     0.157,     0.716,    2
 0,    23.655,    -1.935,     5.552,     0.219,     0.259,   20
 0,    23.456,    -4.016,     0.000,     0.000,     1.000,    1
 0,    20.183,     3.766,     3.400,     0.154,     0.757,    2
 1,   618.600,     0.756,    38.325,     0.018,     0.963,   12
 1,    95.051,     4.307,    14.289,     0.109,     0.740,    3
 1,    88.607,    -3.245,     8.977,     0.056,     0.721,    4
 0,    49.046,     1.272,     9.234,     0.159,     0.384,   15
 0,    29.316,    -1.157,     6.289,     0.173,     0.480,   12
 0,    26.653,    -0.769,     3.857,     0.119,     0.748,   10
 0,    21.412,    -1.219,     4.571,     0.188,     0.365,   12
 1,   111.029,    -3.529,     6.383,     0.030,     0.931,    2
 0,    42.930,    -2.009,     7.096,     0.123,     0.489,   15
 0,    42.803,     2.008,     9.165,     0.183,     0.410,   23
 1,    62.929,     4.285,     0.000,     0.000,     1.000,    1
 0,    42.017,    -0.146,     8.459,     0.158,     0.341,   17
 0,    21.273,    -1.085,     4.795,     0.211,     0.296,   14
 0,    42.477,     2.888,     0.705,     0.015,     0.759,    2
 0,    20.947,     0.598,     4.559,     0.189,     0.327,   15
 1,   909.176,    -0.386,    38.503,     0.006,     0.980,   14
 1,   669.258,    -0.347,    41.421,     0.016,     0.955,   15
 0,    40.295,     1.922,    10.953,     0.242,     0.245,   26
 0,    41.670,    -4.495,     6.808,     0.154,     0.738,    2
 0,    23.103,    -1.007,     5.047,     0.190,     0.366,   10
 1,    31.031,     3.592,     0.000,     0.000,     1.000,    1
