background/signal,pT GeV,y,mass GeV,width,ptD,#of constituents
 1,    80.979,    -2.346,    10.846,     0.098,     0.455,   14
 1,    34.306,     1.703,     4.422,     0.110,     0.494,    9
 0,    37.218,     0.326,     7.094,     0.157,     0.413,   11
 0,    24.326,     0.203,     3.504,     0.109,     0.776,    3
 1,   188.058,     0.438,    12.410,     0.030,     0.904,    7
 1,    58.374,     3.556,     0.000,     0.000,     1.000,    1
 0,    21.072,     1.810,     5.237,     0.232,     0.272,   20
 0,    24.046,     1.309,     5.164,     0.166,     0.550,    9
 0,    33.171,     0.300,     7.797,     0.219,     0.301,   13
 0,    32.230,     0.194,     6.871,     0.189,     0.351,   11
 0,    25.874,     0.616,     3.859,     0.134,     0.707,    5
 0,    24.681,     0.220,     5.613,     0.207,     0.332,   12
 1,    25.166,    -3.414,     2.366,     0.066,     0.868,    2
 1,    24.701,    -2.956,     3.998,     0.124,     0.676,    3
 1,   546.439,     0.788,    32.685,     0.019,     0.939,    9
 1,   222.117,    -2.052,    20.037,     0.056,     0.497,   13
 0,    24.223,     1.102,     4.299,     0.159,     0.575,    8
 0,    25.903,     4.255,     0.000,     0.000,     1.000,    1
 0,    23.400,     3.758,     4.410,     0.183,     0.722,    2
 1,   290.977,    -0.209,    26.728,     0.037,     0.890,   13
 1,    82.229,     2.215,    10.089,     0.086,     0.542,   15
 0,    32.256,    -2.212,     8.184,     0.234,     0.217,   29
 1,    45.662,    -3.922,     3.511,     0.051,     0.882,    2
 0,    47.830,     0.449,    11.499,     0.229,     0.283,   15
 0,    28.644,     1.567,     6.424,     0.206,     0.370,   19
 0,    29.147,    -0.167,     5.057,     0.148,     0.366,   13
 0,    29.232,    -0.744,     6.040,     0.179,     0.403,    8
 0,    39.723,     4.101,     0.000,     0.000,     1.000,    1
 0,    21.737,     0.281,     4.510,     0.166,     0.357,   10
 0,    20.877,     1.439,     4.548,     0.201,     0.544,    9
 0,    34.819,    -4.144,     0.000,     0.000,     1.000,    1
 0,    27.002,     3.732,     4.110,     0.139,     0.761,    2
 0,    23.750,     3.722,     0.000,     0.000,     1.000,    1
 1,   465.305,    -1.147,    19.104,     0.009,     0.970,    9
 1,   378.520,     2.067,    19.432,     0.012,     0.977,    5
 1,    62.959,     3.977,     0.000,     0.000,     1.000,    1
 0,    30.092,     2.680,     6.126,     0.184,     0.429,    9
 0,    33.219,     0.453,     6.257,     0.170,     0.362,   13
 0,    32.271,    -1.218,     7.270,     0.202,     0.312,   12
 0,    23.497,    -0.024,     4.807,     0.185,     0.398,    9
 0,    34.813,     3.681,     6.002,     0.167,     0.649,    3
 0,    25.437,     0.406,     4.929,     0.185,     0.355,   10
 0,    21.060,    -1.213,     2.837,     0.105,     0.588,    5
 0,   801.874,    -0.676,    52.488,     0.016,     0.960,   11
 0,    36.140,     0.463,     8.874,     0.213,     0.392,    8
 0,    23.781,    -1.425,     4.836,     0.180,     0.329,   13
 0,    21.547,     0.663,     4.564,     0.187,     0.311,   15
 1,    37.587,     3.242,     5.446,     0.088,     0.779,    3
 0,    25.643,    -0.012,     6.098,     0.224,     0.392,   11
 0,    24.462,    -0.022,     5.355,     0.195,     0.434,    7
 1,    80.168,     1.424,    11.231,     0.100,     0.598,   14
 0,    26.969,    -1.262,     6.060,     0.207,     0.407,   11
 0,    25.043,     0.576,     5.009,     0.172,     0.370,    9
 0,    25.065,    -0.770,     6.215,     0.221,     0.341,   11
 0,    23.461,    -0.971,     3.794,     0.131,     0.502,    6
 1,   160.487,    -0.396,    12.446,     0.028,     0.921,    8
 0,    20.079,     1.288,     3.572,     0.143,     0.358,    9
 0,    22.019,     0.081,     3.207,     0.111,     0.700,    7
 1,    22.055,     2.429,     1.321,     0.034,     0.844,    5
 0,    21.475,     2.973,     2.730,     0.123,     0.728,    2
 1,   267.122,     0.115,    14.465,     0.010,     0.966,    5
 1,   117.624,     3.864,    18.201,     0.116,     0.758,    4
 1,    68.134,    -3.653,     0.000,     0.000,     1.000,    1
 0,    32.121,     2.017,     7.830,     0.217,     0.257,   21
 0,    40.511,    -2.752,     5.370,     0.123,     0.678,    3
 0,    23.184,     2.570,     3.602,     0.139,     0.683,    5
 0,    23.509,     0.052,     5.486,     0.218,     0.447,    9
 1,   472.507,     1.977,    31.501,     0.020,     0.937,   12
 0,    35.055,    -1.231,     4.301,     0.110,     0.723,    3
 1,    33.437,     2.912,     4.409,     0.126,     0.586,    4
 0,    31.148,     0.283,     7.509,     0.228,     0.359,   10
 0,    23.903,     1.206,     4.333,     0.173,     0.568,    5
 0,    22.366,    -0.347,     4.338,     0.172,     0.396,    8
 0,   745.752,    -0.062,    21.692,     0.004,     0.979,    5
 1,    45.315,     3.648,     7.752,     0.150,     0.783,    2
 0,    22.926,    -0.694,     5.367,     0.207,     0.421,   12
 0,    32.282,    -1.124,     5.193,     0.123,     0.535,    9
 0,    30.486,     0.171,     6.667,     0.202,     0.370,   12
 0,    27.050,    -4.342,     0.000,     0.000,     1.000,    1
 1,   815.248,     1.739,    69.350,     0.046,     0.600,   22
 1,   478.942,    -1.338,    29.544,     0.019,     0.919,   13
 0,   279.960,     0.622,    27.890,     0.043,     0.914,    8
 0,    46.472,    -1.003,    12.230,     0.240,     0.270,   20
 0,    34.495,     2.857,     4.942,     0.125,     0.742,    3
 0,    24.790,    -0.623,     5.677,     0.207,     0.400,    9
 1,    31.271,    -4.190,     0.000,     0.000,     1.000,    1
 0,    20.520,    -0.028,     4.529,     0.204,     0.386,    8
 0,    24.707,    -2.779,     0.720,     0.028,     0.735,    2
 0,    20.260,    -3.767,     2.678,     0.128,     0.727,    2
 1,   592.740,    -0.933,    40.711,     0.024,     0.957,   10
 0,    34.224,    -1.493,     6.961,     0.186,     0.308,   15
 1,    43.827,    -3.959,     1.740,     0.014,     0.967,    2
 0,    24.340,    -1.132,     5.129,     0.192,     0.351,   10
 1,    28.201,     4.343,     0.000,     0.000,     1.000,    1
 0,    27.162,    -0.062,     7.058,     0.249,     0.399,    9
 1,   100.409,    -2.956,     0.000,     0.000,     1.000,    1
 1,    80.803,     3.566,     0.000,     0.000,     1.000,    1
 0,    27.595,     1.629,     4.550,     0.121,     0.553,    8
 0,    28.353,    -0.140,     3.211,     0.076,     0.575,    7
 0,    21.807,    -0.501,     5.343,     0.226,     0.317,   13
 1,    28.782,    -3.366,     2.862,     0.092,     0.753,    2
 1,   448.085,     1.494,    29.956,     0.024,     0.669,   13
 0,    56.797,    -0.435,    11.824,     0.183,     0.296,   16
 1,    33.039,    -1.748,     6.315,     0.171,     0.312,   17
 0,    21.455,    -0.691,     4.655,     0.205,     0.353,   10
 0,    22.311,     0.072,     4.201,     0.175,     0.408,    8
 1,   345.625,     0.383,    11.474,     0.009,     0.973,    5
 1,    62.357,    -2.816,     6.972,     0.076,     0.659,    3
 0,    37.665,     0.843,     8.193,     0.199,     0.275,   18
 0,    25.752,    -3.503,     4.029,     0.141,     0.767,    2
 1,   341.156,     0.562,    10.702,     0.005,     0.994,    3
 1,   208.135,    -3.173,    16.948,     0.057,     0.656,    5
 0,    87.844,     3.093,    17.352,     0.188,     0.377,    9
 0,    67.608,     1.204,    10.403,     0.128,     0.370,   17
 1,    58.020,     4.455,     7.352,     0.111,     0.783,    2
 0,    23.310,    -1.168,     4.217,     0.142,     0.417,    8
 0,    21.592,     1.215,     4.335,     0.178,     0.473,    9
 0,    24.938,     0.498,     5.280,     0.193,     0.441,    9
 0,    23.970,    -2.888,     1.400,     0.057,     0.725,    2
 0,    20.266,     0.915,     4.038,     0.189,     0.470,    8
 0,    21.697,     0.445,     3.848,     0.157,     0.518,    7
 0,    20.018,     3.733,     0.000,     0.000,     1.000,    1
 1,   393.268,     2.152,    31.266,     0.026,     0.923,   12
 1,   269.371,    -0.432,    17.924,     0.024,     0.946,    9
 1,   162.889,    -2.082,    12.177,     0.038,     0.775,   10
 0,    41.684,     2.580,     6.286,     0.126,     0.634,    5
 1,    33.467,     3.053,     2.581,     0.074,     0.734,    3
 0,    20.383,     0.444,     4.440,     0.201,     0.335,   12
 0,    25.953,    -0.975,     4.761,     0.148,     0.399,    9
 0,    24.918,     3.019,     1.972,     0.062,     0.562,    4
 1,   532.584,     1.139,    23.950,     0.009,     0.970,   10
 1,   146.144,    -2.756,    17.468,     0.076,     0.650,    4
