background/signal,pT GeV,y,mass GeV,width,ptD,#of constituents
 1,    95.762,    -2.346,    12.826,     0.098,     0.455,   14
 1,    45.153,     1.703,     5.820,     0.110,     0.494,    9
 0,    37.218,     0.326,     7.094,     0.157,     0.413,   11
 0,    24.326,     0.203,     3.504,     0.109,     0.776,    3
 0,    22.638,    -1.307,     3.496,     0.125,     0.388,    8
 0,    22.586,    -1.699,     4.590,     0.190,     0.394,    9
 1,   187.715,     0.441,    10.099,     0.026,     0.919,    4
 1,    58.374,     3.556,     0.000,     0.000,     1.000,    1
 0,    32.138,     1.303,     6.588,     0.152,     0.637,    4
 0,    29.042,     0.580,     6.303,     0.206,     0.362,    8
 0,    28.339,     0.177,     4.874,     0.160,     0.425,    6
 0,    25.205,    -1.107,     4.446,     0.147,     0.464,    5
 1,    25.166,    -3.414,     2.366,     0.066,     0.868,    2
 1,    24.701,    -2.956,     3.998,     0.124,     0.676,    3
 0,    24.205,    -1.094,     3.150,     0.116,     0.515,    4
 0,    22.934,     0.599,     2.941,     0.090,     0.865,    2
 0,    21.280,     1.662,     3.053,     0.130,     0.515,    4
 0,    21.099,     2.113,     2.972,     0.097,     0.726,    3
 1,   557.809,     0.787,    27.549,     0.015,     0.952,    4
 1,   234.365,    -2.049,    19.627,     0.054,     0.520,    9
 0,    30.421,     1.126,     3.762,     0.114,     0.756,    2
 0,    26.029,     0.430,     4.288,     0.156,     0.616,    3
 0,    26.026,    -0.637,     3.590,     0.132,     0.526,    4
 0,    25.903,     4.255,     0.000,     0.000,     1.000,    1
 0,    23.400,     3.758,     4.410,     0.183,     0.722,    2
 0,    22.539,    -1.357,     4.219,     0.179,     0.597,    3
 0,    21.867,    -2.703,     2.514,     0.113,     0.717,    2
 0,    21.574,    -0.297,     3.068,     0.135,     0.529,    4
 0,    21.019,    -3.616,     3.832,     0.175,     0.728,    2
 0,    20.361,    -0.704,     4.051,     0.160,     0.597,    3
 0,    20.059,    -0.259,     3.973,     0.158,     0.582,    3
 1,   290.031,    -0.215,    14.281,     0.014,     0.953,    3
 1,    88.492,     2.228,     6.954,     0.045,     0.686,    4
 1,    57.868,    -3.922,     4.450,     0.051,     0.882,    2
