background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1,20.178,0.0,0.0,1.0,1
0,21.461,0.0,0.0,1.0,1
1,95.969,9.833,0.058,0.917,2
1,41.486,0.0,0.0,1.0,1
0,56.767,6.813,0.104,0.477,5
0,30.922,3.751,0.084,0.87,2
1,58.107,0.0,0.0,1.0,1
0,49.173,0.0,0.0,1.0,1
1,50.791,0.0,0.0,1.0,1
0,28.867,3.279,0.111,0.722,2
0,30.723,0.0,0.0,1.0,1
1,30.622,0.0,0.0,1.0,1
0,24.705,0.0,0.0,1.0,1
0,21.856,2.329,0.105,0.716,2
0,40.274,7.341,0.18,0.707,2
1,25.17,0.0,0.0,1.0,1
0,33.383,5.834,0.166,0.738,2
1,64.323,0.0,0.0,1.0,1
1,58.42,6.169,0.097,0.758,2
1,59.509,1.433,0.014,0.918,2
1,65.689,0.0,0.0,1.0,1
0,24.178,0.0,0.0,1.0,1
1,67.197,12.138,0.16,0.664,3
0,28.942,3.843,0.127,0.734,2
0,54.423,10.924,0.192,0.626,3
0,26.824,5.446,0.161,0.586,3
1,120.243,0.0,0.0,1.0,1
0,25.76,4.61,0.161,0.77,2
0,22.827,0.0,0.0,1.0,1
0,22.818,0.0,0.0,1.0,1
0,34.689,0.0,0.0,1.0,1
1,28.581,0.0,0.0,1.0,1
0,28.5,4.593,0.138,0.79,2
0,37.388,0.0,0.0,1.0,1
0,21.481,0.0,0.0,1.0,1
0,36.082,3.624,0.07,0.867,2
0,25.246,4.903,0.191,0.583,3
0,20.06,3.445,0.149,0.505,4
1,21.972,5.153,0.224,0.586,3
0,22.574,0.0,0.0,1.0,1
1,93.526,0.0,0.0,1.0,1
0,20.194,0.0,0.0,1.0,1
1,38.977,5.422,0.134,0.731,2
1,93.092,18.289,0.184,0.646,3
0,27.085,4.999,0.179,0.587,3
1,53.64,0.0,0.0,1.0,1
1,52.115,11.369,0.177,0.578,5
0,31.604,0.0,0.0,1.0,1
0,22.216,2.901,0.128,0.72,2
0,29.046,0.0,0.0,1.0,1
0,22.001,0.0,0.0,1.0,1
0,23.844,4.754,0.181,0.521,4
0,24.347,3.269,0.133,0.714,2
1,52.682,9.893,0.153,0.597,3
1,84.904,0.0,0.0,1.0,1
0,26.583,2.874,0.099,0.762,2
1,70.221,1.61,0.02,0.787,2
1,54.396,7.752,0.131,0.654,3
0,33.488,6.023,0.143,0.738,3
0,22.144,0.0,0.0,1.0,1
1,87.445,0.0,0.0,1.0,1
0,37.67,4.803,0.086,0.878,2
1,38.631,4.603,0.097,0.63,3
1,30.504,0.0,0.0,1.0,1
0,23.279,0.0,0.0,1.0,1
0,39.723,0.0,0.0,1.0,1
0,20.35,0.0,0.0,1.0,1
1,62.124,0.0,0.0,1.0,1
0,23.293,2.086,0.075,0.805,2
1,43.868,4.91,0.075,0.878,2
0,22.749,3.623,0.132,0.606,3
0,27.189,4.967,0.176,0.724,2
1,39.791,4.529,0.105,0.754,2
1,37.694,6.911,0.177,0.723,2
0,29.605,4.994,0.167,0.712,2
1,50.039,0.0,0.0,1.0,1
1,87.97,5.386,0.041,0.881,2
1,108.925,0.0,0.0,1.0,1
0,25.972,4.86,0.183,0.713,2
1,30.288,0.0,0.0,1.0,1
0,21.431,2.784,0.129,0.707,2
1,30.314,0.0,0.0,1.0,1
1,104.691,12.803,0.085,0.618,6
0,24.812,0.0,0.0,1.0,1
0,29.936,3.526,0.103,0.783,2
0,31.809,0.0,0.0,1.0,1
1,32.648,0.0,0.0,1.0,1
0,21.746,0.0,0.0,1.0,1
0,26.94,0.0,0.0,1.0,1
1,28.507,0.0,0.0,1.0,1
0,24.851,4.208,0.162,0.733,2
1,23.157,0.43,0.015,0.819,2
1,101.272,14.521,0.131,0.76,2
1,25.722,2.223,0.079,0.76,2
0,25.998,2.32,0.069,0.836,2
1,96.855,10.629,0.09,0.814,2
1,22.46,0.0,0.0,1.0,1
0,34.051,4.076,0.114,0.74,2
0,21.889,3.877,0.156,0.78,2
1,104.026,10.624,0.06,0.909,2
0,21.95,3.718,0.166,0.713,2
1,48.042,10.434,0.213,0.612,3
0,21.161,0.0,0.0,1.0,1
0,42.695,4.577,0.061,0.916,2
1,29.872,0.0,0.0,1.0,1
1,70.465,13.516,0.165,0.477,5
1,44.622,0.0,0.0,1.0,1
1,21.403,3.839,0.15,0.617,3
0,31.192,6.278,0.19,0.609,3
0,41.355,9.579,0.21,0.54,4
1,91.822,5.125,0.033,0.911,2
1,48.991,0.0,0.0,1.0,1
1,20.377,0.0,0.0,1.0,1
1,69.377,0.0,0.0,1.0,1
0,20.058,2.735,0.136,0.707,2
0,21.689,0.0,0.0,1.0,1
0,33.164,6.055,0.18,0.713,2
0,35.88,0.0,0.0,1.0,1
1,112.903,0.0,0.0,1.0,1
1,20.101,2.283,0.105,0.755,2
0,32.108,5.334,0.16,0.602,3
1,46.443,0.0,0.0,1.0,1
0,23.179,0.0,0.0,1.0,1
0,27.01,4.256,0.149,0.738,2
0,34.042,5.858,0.104,0.672,4
1,109.674,0.0,0.0,1.0,1
0,25.363,3.51,0.134,0.726,2
1,44.554,9.382,0.196,0.655,3
0,27.172,3.314,0.102,0.806,2
1,80.816,8.232,0.062,0.82,3
0,24.262,4.14,0.144,0.799,2
1,41.704,0.0,0.0,1.0,1
0,20.217,0.0,0.0,1.0,1
0,24.341,0.0,0.0,1.0,1
0,28.647,4.044,0.105,0.848,2
1,54.298,0.0,0.0,1.0,1
1,86.233,4.524,0.028,0.925,2
0,54.098,0.0,0.0,1.0,1
1,87.019,5.145,0.028,0.932,3
0,30.815,0.0,0.0,1.0,1
1,43.705,0.0,0.0,1.0,1
1,44.237,3.478,0.068,0.76,3
1,47.918,1.463,0.026,0.789,2
